,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Report.Status,Event.Year
63950,Accident,2008-01-12,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,The pilot's failure to attain the proper touchdown point.,2008
63951,Accident,2008-01-13,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,1.0,0.0,1.0,A loss of engine power due to carburetor icing conditions and the failure of the pilot to use the correct amount of carburetor heat for the existing conditions.,2008
63956,Accident,2008-01-14,Non-Fatal,Substantial,Airplane,DeSousa,Personal,0.0,0.0,0.0,3.0,"The pilot's failure to attain the proper touchdown point, and loss of the wheel brake system.",2008
63957,Accident,2008-01-14,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,The failure of the pilot-in-command to maintain directional control of the airplane during landing.,2008
63961,Accident,2008-01-16,Non-Fatal,Substantial,Airplane,Cessna,Positioning,0.0,0.0,1.0,0.0,"A partial loss of engine power for an undetermined reason. Contributing to the accident were the pilot's inadvertent encounter with IMC conditions, and a whiteout during his attempted go-around from an emergency landing approach.",2008
63963,Accident,2008-01-16,Non-Fatal,Substantial,Airplane,Beech,Business,0.0,0.0,0.0,2.0,The pilot's loss of control on landing.  A factor was a gusting crosswind component.,2008
63965,Accident,2008-01-17,Fatal,Substantial,Airplane,Hawker Beechcraft Corp.,Positioning,1.0,0.0,0.0,0.0,The pilot experienced spatial disorientation during the inital climb causing him to lose control of the airplane.,2008
63966,Accident,2008-01-17,Non-Fatal,Substantial,Airplane,Grumman American,Personal,0.0,0.0,0.0,1.0,"The loss of engine power for undetermined reasons.

*This report was modified on May 20, 2008.*",2008
63968,Accident,2008-01-17,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,4.0,The pilot's excessive airspeed during the approach and loss of control during the landing.  Contributing factors were the mountain turbulence and the snowbank.,2008
63970,Accident,2008-01-18,Fatal,Substantial,Airplane,Beechcraft,Personal,1.0,0.0,0.0,0.0,The pilot's failure to maintain control resulting in the in-flight break-up of the airplane due to aerodynamic overload.  Contributing factors included the pilot's impairment due to multiple medical conditions and due to recent use of alcohol.,2008
63971,Accident,2008-01-18,Fatal,Destroyed,Airplane,PIPER,Personal,1.0,0.0,0.0,0.0,The pilot's failure to execute an instrument approach. Contributing to the accident was the pilot's impairment due to recent use of over-the-counter medication.,2008
63975,Accident,2008-01-19,Fatal,Substantial,Airplane,Air Creation,Instructional,2.0,0.0,0.0,0.0,An in-flight loss of control and an uncontrolled descent into terrain for undetermined reasons.,2008
63976,Accident,2008-01-19,Non-Fatal,Substantial,Airplane,Waltermire,Personal,0.0,1.0,0.0,1.0,The pilot's failure to maintain directional control during landing and a lack of experience in conventional gear airplanes.,2008
63977,Accident,2008-01-19,Non-Fatal,Substantial,Airplane,Quicksilver,Personal,0.0,0.0,0.0,2.0,A malfunction of the rudder control system.,2008
63978,Accident,2008-01-20,Fatal,Destroyed,Airplane,CESSNA,Personal,4.0,0.0,0.0,0.0,The failure of both pilots to see and avoid the other airplane.,2008
63979,Accident,2008-01-20,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,3.0,"The probable cause of this accident is undetermined.


",2008
63980,Accident,2008-01-20,Non-Fatal,Substantial,Airplane,Luscombe,Personal,0.0,0.0,0.0,1.0,The failure of the landing gear/ski attachment assembly due to inadequate maintenance.,2008
63983,Accident,2008-01-22,Non-Fatal,Substantial,Airplane,Cessna,Instructional,0.0,0.0,0.0,1.0,The student pilot's failure to maintain directional control of the airplane during the landing roll.  Contributing to the accident were the snow-covered runway and the gusty wind conditions.,2008
63985,Accident,2008-01-23,Non-Fatal,Substantial,Airplane,Beech,Flight Test,0.0,0.0,0.0,1.0,Maintenance personnel's improper replacement of the landing gear leg brace assembly which subsequently failed to keep the landing gear in the locked position.,2008
63986,Accident,2008-01-24,Non-Fatal,Substantial,Airplane,MacAdams,Personal,0.0,0.0,0.0,2.0,The loss of engine power for undetermined reasons. Contributing to the accident was the snow covered ravine.,2008
63988,Accident,2008-01-25,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,2.0,0.0,0.0,"Loss of engine power due to improper welding of the crankcase, which resulted in fatigue failure of the through-studs and a subsequent separation of the number two cylinder. Contributing to the accident was the unsuitable terrain for a forced landing.",2008
63989,Accident,2008-01-25,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,1.0,0.0,2.0,The pilot's inadequate in-flight planning/decision to land on a snow covered runway without first determining the depth of the snow.,2008
63990,Accident,2008-01-25,Non-Fatal,Substantial,Glider,Schweizer,Instructional,0.0,0.0,0.0,2.0,The dual student's failure to maintain aircraft control while taxiing from the active runway and the delayed remedial action by the flight instructor. A contributing factor was the unfavorable high wind condition.,2008
63992,Accident,2008-01-26,Non-Fatal,Substantial,Airplane,Phillips,Personal,0.0,0.0,1.0,0.0,The pilot's failure to maintain airspeed during an emergency descent resulting in an inadvertent stall/mush. Contributing to the accident was the pilot's failure to turn on the fuel tank valve resulting in fuel starvation and the loss of engine power.,2008
63994,Accident,2008-01-26,Non-Fatal,Substantial,Airplane,Cessna,Instructional,0.0,0.0,0.0,1.0,The student pilot's improper flare.,2008
63995,Accident,2008-01-27,Fatal,Destroyed,Airplane,Unknown,Personal,1.0,0.0,0.0,0.0,The non-certificated pilot's failure to maintain aircraft control while maneuvering. Contributing to the accident was the non-certificated pilot's improper decision to conduct a flight prior to the airplane being properly inspected and certified.,2008
63996,Accident,2008-01-27,Non-Fatal,Substantial,Airplane,Avid Aircraft,Personal,0.0,0.0,0.0,1.0,"The pilot's inadequate compensation for the crosswind condition which resulted in a loss of directional control during a bounced landing.  Factors associated with the accident were the improper flare, the crosswind, and the trees which the airplane contacted.",2008
63997,Accident,2008-01-27,Non-Fatal,Substantial,Gyrocraft,James Dayton,Flight Test,0.0,0.0,0.0,1.0,The pilot's improper flare during the landing.,2008
63998,Accident,2008-01-27,Non-Fatal,Substantial,Airplane,Piper,Other Work Use,0.0,0.0,1.0,0.0,The pilot's failure to maintain sufficient airspeed while maneuvering which resulted in a stall.,2008
63999,Accident,2008-01-28,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,The failure of the fuel servo gasket and subsequent partial loss of engine power.  Contributing to the accident was the none-suitable terrain for the forced landing.,2008
64000,Accident,2008-01-28,Non-Fatal,Substantial,Airplane,Cessna,Instructional,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during landing roll out.,2008
64001,Accident,2008-01-28,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,1.0,The pilot's misjudgement of the landing flare resulting in a hard landing.,2008
64002,Accident,2008-01-29,Non-Fatal,Substantial,Airplane,GRUMMAN,Personal,0.0,0.0,2.0,0.0,The pilots failure to maintain control of the airplane during a water landing.,2008
64003,Accident,2008-01-29,Non-Fatal,Substantial,Airplane,Piper,Banner Tow,0.0,2.0,0.0,0.0,The pilot's failure to maintain directional control while landing. Contributing was the gusty crosswind condition.,2008
64006,Accident,2008-01-30,Non-Fatal,Substantial,Airplane,Airborne,Personal,0.0,0.0,1.0,0.0,The failure of the pilot-in-command to maintain control of the airplane and his poor weather evaluation before attempting to taxi the airplane. A factor in the accident was the failure of airport personnel to correct the inaccurate wind information reported by the AWOS.,2008
64007,Accident,2008-01-30,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,3.0,The pilot's failure to properly secure the airplane before attempting to hand-prop the engine.,2008
64009,Accident,2008-01-31,Non-Fatal,Substantial,Airplane,AirIndus,Personal,0.0,0.0,0.0,2.0,The student's improper landing flare and the flight examiner's improper supervision of the student.,2008
64010,Accident,2008-01-31,Non-Fatal,Substantial,Airplane,Beech,Personal,0.0,0.0,0.0,4.0,An inadvertent encounter with in-cloud turbulence.,2008
64011,Accident,2008-02-01,Fatal,Substantial,Airplane,RAYTHEON AIRCRAFT COMPANY,Personal,6.0,0.0,0.0,0.0,"The pilot's failure to maintain control of the airplane in instrument meteorological conditions. Contributing to the accident were the pilot's improper decision to descend below the minimum descent altitude, and failure to follow the published missed approach procedure.",2008
64012,Accident,2008-02-01,Fatal,Destroyed,Airplane,CESSNA,Personal,2.0,0.0,0.0,0.0,The pilot's spatial disorientation and subsequent failure to maintain airplane control.,2008
64013,Accident,2008-02-01,Non-Fatal,Substantial,Airplane,Smith,Personal,0.0,0.0,0.0,1.0,"A loss of engine power due to fuel starvation, which was induced by the electrical system lacking sufficient power to run all of the electrical devices on the airplane and the electrical fuel pump.",2008
64014,Accident,2008-02-01,Non-Fatal,Substantial,Airplane,CESSNA,Positioning,0.0,0.0,0.0,1.0,Loss of engine power during the takeoff initial climb due to lack of compression to a cylinder.,2008
64015,Accident,2008-02-01,Non-Fatal,Substantial,Airplane,North American Rockwell Corp.,Ferry,0.0,0.0,0.0,2.0,"The depletion of pressure in the normal hydraulic system for an undetermined reason, and the pilots' failure to properly operate the emergency braking system. Contributing to the accident was an inoperative hydraulic system aural warning.",2008
64016,Accident,2008-02-02,Fatal,Destroyed,Airplane,CIRRUS DESIGN CORP,Instructional,2.0,0.0,0.0,0.0,"The flight instructor's failure to maintain control of the airplane, which resulted in an inadvertent stall while maneuvering.",2008
64017,Accident,2008-02-02,Non-Fatal,Substantial,Airplane,Bellanca,Personal,0.0,0.0,1.0,0.0,Loss of engine power while on final approach for undetermined reasons. Contributing to the accident was a power line.,2008
64018,Accident,2008-02-02,Fatal,Destroyed,Airplane,KIDD CHRIS,Personal,1.0,0.0,0.0,0.0,"The pilot's failure to maintain an adequate terrain clearance altitude while maneuvering in mountainous, hilly terrain.  Contributing to the accident were hilly terrain, a low ceiling and gusty winds.",2008
64019,Accident,2008-02-02,Fatal,Destroyed,Airplane,CESSNA,Personal,4.0,0.0,0.0,0.0,The pilot's continued visual flight into instrument meteorological conditions and failure to maintain terrain clearance while en route.  Contributing to the accident were clouds and mountainous terrain.,2008
64020,Accident,2008-02-03,Fatal,Substantial,Airplane,KAYLOR J E/STRAHLMANN R L,Personal,1.0,0.0,0.0,0.0,The pilot's decision to attempt an aerobatic maneuver in close proximity to the ground.,2008
64023,Accident,2008-02-03,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,1.0,The owner of the parking surface's failure to ensure that the parking surface was clear of hazards to taxiing airplanes and the pilot's failure to ensure a safe taxi route in unfamiliar surroundings.,2008
64024,Accident,2008-02-03,Non-Fatal,Destroyed,Airplane,Kral,Personal,0.0,1.0,0.0,0.0,The pilot's failure to maintain adequate clearance from obstructions during the landing approach.  Contributing to the accident was the reduced visibility due to sunglare and haze.,2008
64025,Accident,2008-02-03,Non-Fatal,Substantial,Airplane,Squier,Personal,0.0,0.0,1.0,0.0,"The pilot's spatial disorientation while maneuvering after takeoff and his subsequent failure to maintain clearance from the terrain.  Contributing factors were the snow-covered lake and overcast clouds, which resulted in the pilot's spatial disorientation due to the indefinite horizon.  An additional factor was the airplane's low altitude at the time of the occurrence.",2008
64027,Accident,2008-02-04,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,"The pilot's improper in-flight decision not to over fly/inspect the snow covered runway prior to landing, and his failure to align the airplane over the centerline of the runway. Contributing to the accident was the snow covered runway, the airport operator's failure to properly plow and clear the runway, and hidden obstructions (previously plowed snow) under the freshly fallen snow.",2008
64028,Accident,2008-02-05,Fatal,Destroyed,Airplane,Cessna,Personal,1.0,0.0,0.0,0.0,The pilot's failure to maintain aircraft control after flying into clouds.,2008
64030,Accident,2008-02-05,Non-Fatal,Substantial,Airplane,de Havilland,Positioning,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control of the airplane during an aborted takeoff.,2008
64033,Accident,2008-02-06,Non-Fatal,Substantial,Airplane,American Aviation,Personal,0.0,0.0,0.0,1.0,"The seizure of the left brake due to a buildup of ice between the rotor and brake pad.  Contributing to the accident was the snow and slush covered runway, and the snowbank.",2008
64035,Accident,2008-02-07,Non-Fatal,Substantial,Airplane,Cessna,Instructional,0.0,0.0,0.0,2.0,"A cracked nose gear actuator o-ring resulting in hydraulic fluid exhaustion, and collapse of the main gear.",2008
